Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2021.0,12.0,14.0,21.0,0.0,0.0,-22.1543
2021.0,12.0,14.0,21.0,10.0,0.0,-19.1091
2021.0,12.0,14.0,21.0,50.0,0.0,-23.8368
2021.0,12.0,14.0,22.0,20.0,0.0,-23.7217
2021.0,12.0,14.0,22.0,30.0,0.0,-21.0772
2021.0,12.0,14.0,22.0,40.0,0.0,-19.615
2021.0,12.0,14.0,22.0,50.0,0.0,-20.0444
2021.0,12.0,14.0,23.0,0.0,0.0,-23.8174
2021.0,12.0,14.0,23.0,10.0,0.0,-22.0734
2021.0,12.0,14.0,23.0,20.0,0.0,-16.8595
2021.0,12.0,14.0,23.0,30.0,0.0,-17.9489
2021.0,12.0,15.0,0.0,0.0,0.0,-19.512
2021.0,12.0,15.0,0.0,10.0,0.0,-16.7843
2021.0,12.0,15.0,0.0,20.0,0.0,-14.5042
2021.0,12.0,15.0,0.0,30.0,0.0,-18.1677
2021.0,12.0,15.0,0.0,40.0,0.0,-19.0764
2021.0,12.0,15.0,0.0,50.0,0.0,-24.826
2021.0,12.0,15.0,1.0,0.0,0.0,-19.4867
2021.0,12.0,15.0,1.0,10.0,0.0,-19.131
2021.0,12.0,15.0,1.0,40.0,0.0,-14.641
2021.0,12.0,15.0,1.0,50.0,0.0,-11.1437
2021.0,12.0,15.0,2.0,0.0,0.0,-11.3811
2021.0,12.0,15.0,2.0,10.0,0.0,-11.0297
2021.0,12.0,15.0,2.0,20.0,0.0,-11.3922
2021.0,12.0,15.0,2.0,30.0,0.0,-11.2396
2021.0,12.0,15.0,2.0,40.0,0.0,-13.0962
2021.0,12.0,15.0,2.0,50.0,0.0,-11.6668
2021.0,12.0,15.0,3.0,20.0,0.0,-9.0406
2021.0,12.0,15.0,3.0,30.0,0.0,-9.1217
2021.0,12.0,15.0,19.0,30.0,0.0,-18.7166
2021.0,12.0,15.0,19.0,40.0,0.0,-18.2587
2021.0,12.0,15.0,19.0,50.0,0.0,-17.5193
2021.0,12.0,15.0,20.0,0.0,0.0,-19.8251
2021.0,12.0,15.0,20.0,10.0,0.0,-19.6498
2021.0,12.0,15.0,20.0,20.0,0.0,-20.0531
2021.0,12.0,15.0,20.0,50.0,0.0,-21.8405
2021.0,12.0,15.0,21.0,0.0,0.0,-21.0595
2021.0,12.0,15.0,21.0,10.0,0.0,-20.6501
2021.0,12.0,15.0,21.0,20.0,0.0,-18.7729
2021.0,12.0,15.0,21.0,30.0,0.0,-17.983
2021.0,12.0,15.0,21.0,40.0,0.0,-20.5656
2021.0,12.0,15.0,21.0,50.0,0.0,-19.7873
2021.0,12.0,15.0,22.0,0.0,0.0,-19.2348
2021.0,12.0,15.0,22.0,30.0,0.0,-13.5025
2021.0,12.0,15.0,22.0,40.0,0.0,-15.4211
2021.0,12.0,15.0,22.0,50.0,0.0,-11.8619
2021.0,12.0,15.0,23.0,0.0,0.0,-9.508
2021.0,12.0,15.0,23.0,10.0,0.0,-12.8352
2021.0,12.0,15.0,23.0,20.0,0.0,-13.4245
2021.0,12.0,15.0,23.0,30.0,0.0,-8.4205
2021.0,12.0,15.0,23.0,40.0,0.0,-2.9229
2021.0,12.0,16.0,0.0,10.0,0.0,-4.1012
2021.0,12.0,16.0,0.0,20.0,0.0,-3.0335
2021.0,12.0,16.0,0.0,30.0,0.0,-2.1968
2021.0,12.0,16.0,0.0,40.0,0.0,-2.8607
2021.0,12.0,16.0,0.0,50.0,0.0,-2.232
2021.0,12.0,16.0,1.0,0.0,0.0,-2.2965
2021.0,12.0,16.0,1.0,10.0,0.0,-2.4706
2021.0,12.0,16.0,1.0,20.0,0.0,-1.9771
2021.0,12.0,16.0,1.0,50.0,0.0,-1.8447
2021.0,12.0,16.0,2.0,0.0,0.0,-1.8644
2021.0,12.0,16.0,2.0,10.0,0.0,-1.9856
2021.0,12.0,16.0,2.0,20.0,0.0,-2.0229
2021.0,12.0,16.0,2.0,30.0,0.0,-2.1555
2021.0,12.0,16.0,2.0,40.0,0.0,-2.043
2021.0,12.0,16.0,2.0,50.0,0.0,-1.994
2021.0,12.0,16.0,3.0,0.0,0.0,-1.8829
2021.0,12.0,16.0,3.0,30.0,0.0,-1.6504
2021.0,12.0,16.0,19.0,30.0,0.0,-23.9737
2021.0,12.0,16.0,19.0,40.0,0.0,-26.407
2021.0,12.0,16.0,19.0,50.0,0.0,-23.2849
2021.0,12.0,16.0,20.0,0.0,0.0,-25.3321
2021.0,12.0,16.0,20.0,10.0,0.0,-25.1865
2021.0,12.0,16.0,20.0,20.0,0.0,-24.9273
2021.0,12.0,16.0,20.0,30.0,0.0,-25.348
2021.0,12.0,16.0,21.0,0.0,0.0,-18.2757
2021.0,12.0,16.0,21.0,10.0,0.0,-27.7373
2021.0,12.0,16.0,21.0,20.0,0.0,-27.6076
2021.0,12.0,16.0,21.0,30.0,0.0,-27.2044
2021.0,12.0,16.0,21.0,40.0,0.0,-25.2227
2021.0,12.0,16.0,21.0,50.0,0.0,-26.9263
2021.0,12.0,16.0,22.0,0.0,0.0,-19.1798
2021.0,12.0,16.0,22.0,10.0,0.0,-24.3547
2021.0,12.0,16.0,22.0,40.0,0.0,-7.6399
2021.0,12.0,16.0,22.0,50.0,0.0,-4.1442
2021.0,12.0,16.0,23.0,0.0,0.0,-5.1718
2021.0,12.0,16.0,23.0,10.0,0.0,-6.6646
2021.0,12.0,16.0,23.0,20.0,0.0,-11.5991
2021.0,12.0,16.0,23.0,30.0,0.0,-10.9666
2021.0,12.0,16.0,23.0,40.0,0.0,-4.7324
2021.0,12.0,16.0,23.0,50.0,0.0,-3.5256
2021.0,12.0,17.0,0.0,20.0,0.0,-11.203
2021.0,12.0,17.0,0.0,30.0,0.0,-4.5841
2021.0,12.0,17.0,0.0,40.0,0.0,-8.1775
2021.0,12.0,17.0,0.0,50.0,0.0,-1.5996
2021.0,12.0,17.0,1.0,0.0,0.0,-2.0051
2021.0,12.0,17.0,1.0,10.0,0.0,-1.7962
2021.0,12.0,17.0,1.0,20.0,0.0,-1.7311
2021.0,12.0,17.0,1.0,30.0,0.0,-1.176
2021.0,12.0,17.0,2.0,0.0,0.0,-1.6647
2021.0,12.0,17.0,2.0,10.0,0.0,-10.5902
2021.0,12.0,17.0,2.0,20.0,0.0,-2.9074
2021.0,12.0,17.0,2.0,30.0,0.0,-1.7886
2021.0,12.0,17.0,2.0,40.0,0.0,-1.9193
2021.0,12.0,17.0,2.0,50.0,0.0,-18.9818
2021.0,12.0,17.0,3.0,0.0,0.0,-14.8146
2021.0,12.0,17.0,3.0,10.0,0.0,-1.5606
2021.0,12.0,17.0,19.0,30.0,0.0,-7.8014
2021.0,12.0,17.0,19.0,40.0,0.0,-7.6415
2021.0,12.0,17.0,19.0,50.0,0.0,-8.1943
2021.0,12.0,17.0,20.0,0.0,0.0,-7.6264
2021.0,12.0,17.0,20.0,10.0,0.0,-7.4378
2021.0,12.0,17.0,20.0,20.0,0.0,-7.8314
2021.0,12.0,17.0,20.0,30.0,0.0,-7.4666
2021.0,12.0,17.0,20.0,40.0,0.0,-7.8432
2021.0,12.0,17.0,21.0,10.0,0.0,-7.9076
2021.0,12.0,17.0,21.0,20.0,0.0,-7.833
2021.0,12.0,17.0,21.0,30.0,0.0,-7.7573
2021.0,12.0,17.0,21.0,40.0,0.0,-8.0417
2021.0,12.0,17.0,21.0,50.0,0.0,-8.0133
