Year,Month,Day,Time,Min,Sec,Radiation(Ldown-Lup)(Wm^2)
2022,1,24,23,50,0,-3.989
2022,1,25,0,0,0,-4.8032
2022,1,25,0,10,0,-6.4267
2022,1,25,0,20,0,-5.5489
2022,1,25,0,30,0,-9.4208
2022,1,25,0,40,0,-8.1388
2022,1,25,0,50,0,-6.2512
2022,1,25,1,0,0,-3.3359
2022,1,25,1,10,0,-5.7082
2022,1,25,1,20,0,-14.9472
2022,1,25,1,30,0,-8.8925
2022,1,25,1,40,0,-12.0353
2022,1,25,1,50,0,-12.718
2022,1,25,2,0,0,-12.1357
2022,1,25,2,10,0,-9.0429
2022,1,25,2,20,0,-6.039
2022,1,25,2,30,0,-4.1179
2022,1,25,2,40,0,-4.7281
2022,1,25,2,50,0,-4.2216
2022,1,25,3,0,0,-7.5754
2022,1,25,3,10,0,-6.0909
2022,1,25,3,20,0,-7.2107
2022,1,25,3,30,0,-5.2247
2022,1,25,19,30,0,-21.0709
2022,1,25,19,40,0,-11.6665
2022,1,25,19,50,0,-8.107
2022,1,25,20,0,0,-6.6135
2022,1,25,20,10,0,-6.9957
2022,1,25,20,20,0,-6.4037
2022,1,25,20,30,0,-6.179
2022,1,25,20,40,0,-5.9043
2022,1,25,20,50,0,-6.1923
2022,1,25,21,0,0,-8.2765
2022,1,25,21,10,0,-11.315
2022,1,25,21,20,0,-18.048
2022,1,25,21,30,0,-21.4312
2022,1,25,21,40,0,-20.0862
2022,1,25,21,50,0,-19.2163
2022,1,25,22,0,0,-20.9623
2022,1,25,22,10,0,-15.8713
2022,1,25,22,20,0,-18.2272
2022,1,25,22,30,0,-17.2112
2022,1,25,22,40,0,-19.1835
2022,1,25,22,50,0,-15.0849
2022,1,25,23,0,0,-18.218
2022,1,25,23,10,0,-22.5114
2022,1,25,23,20,0,-22.0878
2022,1,25,23,30,0,-22.9929
2022,1,25,23,40,0,-23.2043
2022,1,25,23,50,0,-20.712
2022,1,26,0,0,0,-21.4605
2022,1,26,0,10,0,-20.2465
2022,1,26,0,20,0,-8.8666
2022,1,26,0,30,0,-7.9503
2022,1,26,0,40,0,-6.5244
2022,1,26,0,50,0,-2.4669
2022,1,26,1,0,0,-1.6778
2022,1,26,1,10,0,-1.2839
2022,1,26,1,20,0,-1.47
2022,1,26,1,30,0,-7.7464
2022,1,26,1,40,0,-8.2262
2022,1,26,1,50,0,-5.6876
2022,1,26,2,0,0,-4.2405
2022,1,26,2,10,0,-4.8608
2022,1,26,2,20,0,-4.173
2022,1,26,2,30,0,-3.6787
2022,1,26,2,40,0,-5.8122
2022,1,26,2,50,0,-8.2688
2022,1,26,3,0,0,-8.8675
2022,1,26,3,10,0,-2.9068
